"Qty";"Value";"Device";"Package";"Parts";"Description";"CURRENTRATING";"INDUCTANCE";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"TP_SIGNAL_NAME";"VALUE";"VOLTAGERATING";
"1";"";"10-XX";"B3F-10XX";"S1";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"F15HPS";"F15HP";"X1, X5, X6, X7";"SUB-D";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"JP2E";"JP2";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"";"LED0805ROUND";"0805RND";"L, RX, RX1, TX, TX1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-2X5";"2X05";"JP7, JP8, JP9";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X8";"2X08";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PN61729";"PN61729";"X4";"BERG USB connector";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"RESET-EN";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"100n";"C-EUC0805K";"C0805K";"C1, C4, C9, C10, C14, C15, C16, C42, C43, C44, C45, C46";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100nF";"C-EUC0805K";"C0805K";"C18, C24, C25, C26, C27, C28, C30, C31";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uF";"CPOL-EUE5-13";"E5-13";"C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K";"R-EU_R0805";"R0805";"R5, R10, R36";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10UF";"EEE-FK1J100P-CASE-D";"CAPAE660X610N";"C12";"Aluminum Electrolytic Capacitors,Surface Mount Type";"";"";"";"EEE-FK1J100P";"9696008  ";"96K9398";"CASE-D";"PANASONIC";"±20 %";"";"10UF";"63 V";
"5";"10k";"R-EU_R0805";"R0805";"R42, R43, R44, R45, R46";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"120uF";"CPOL-EUE5-13";"E5-13";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"122-000-04-52";"122-000-04-52";"122-000-04-52";"U$28";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"16MHz";"CRYTALHC49S";"HC49/S";"Q2";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1K";"R-EU_R0805";"R0805";"R1, R11, R12, R40, R41";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1k";"R-EU_R0805";"R0805";"R3, R6, R7, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.5MM-JACKPRO";"2.5MM-JACKPRO";"2.5-JACK-RA-PRO";"J3";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"22p";"C-EUC0805K";"C0805K";"C2, C3, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.5MM-JACK";"3.5MM-JACK";"3.5-JACK-RA";"J2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330uH (DO3308P-334)";"DO3316P";"DO3316P";"L3";"COILCRAFT";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"3uH";"WE-TPC-744053003_5818/5828";"WE-TPC_5818/5828";"L1";"Shielded Tiny Power Inductor WE-TPC";"";"";"";"744053003";"2082565";"88T7010";"5828";"WURTH ELEKTRONIK";"";"";"";"";
"2";"4.7uF";"C-EUC0805K";"C0805K";"C29, C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47UF";"EEE-FK1J470P-CASE-F";"CAPAE830X1050N";"C8";"Aluminum Electrolytic Capacitors,Surface Mount Type";"";"";"";"EEE-FK1J470P";"9696032  ";"96K9403";"CASE-F";"PANASONIC";"±20 %";"";"47UF";"63 V";
"1";"4K7";"R-EU_R0805";"R0805";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"500mA";"L-EUL1812";"L1812";"F1, F2";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"27";"560";"R-EU_R0805";"R0805";"R4, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R37, R38, R39";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"68uF";"CPOL-EUE5-13";"E5-13";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"24";"AQV252G";"AQV252G";"SOP6";"U10, U11, U12, U13, U14, U15, U16, U17, U20, U21, U22, U23, U24, U25, U26, U27, U30, U31, U32, U33, U34, U35, U36, U37";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA2560AU";"ATMEGA2560AU";"TQFP100";"U1";"MICROCONTROLLER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAT54C";"BAT54C";"SOT23";"D4";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DCJ0202";"JACK-PLUG0";"SPC4077";"J1";"DC POWER JACK";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"DR73-680-R";"DR73-680-R";"INDM7676X355N";"L2";"POWER INDUCTOR";"890mA";"68µH";"";"DR73-680-R";"1653721";"52K7562";"SMD";"COILTRONICS";"±20%";"";"";"";
"1";"FOD852";"FOD852";"DIP4-SMD";"U5";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"FT232RL";"FT232RL";"SSOP28";"U2, U4";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ICSP";"PINHD-2X3";"2X03";"ICSP";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED-DRIVER";"LED-DRIVER";"LDU08";"U6";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM2594HVM-5.0";"LM2594HVM-3.3";"SOIC127P620X175-8N";"U3";"SIMPLE SWITCHER";"";"";"";"LM2594HVM-33";"1564635";"41K3809";"SOIC-8";"National Semiconductor";"";"";"";"";
"1";"MBRS130";"DIODE-DO214AA";"DO214AA";"D5";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SF37";"SF37";"DO-201AD";"D2";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPB2,54";"TPB2,54";"B2,54";"TP1";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB PROG";"47346-0001";"MOLEX_47346-0001";"J4";"CONN RCPT 5POS MICRO USB R/A  SMD";"";"";"";"47346-0001";"1568026";"47M0505";"5 POS MICRO USB R/A";"MOLEX";"";"";"";"";
